id,mapping,mapping_period_ns,mapping_clock_source,operating_period_ns,clock_source,folder_period_ns,frequency_mhz,saif_status,saif_user_min_pct,saif_default_max_pct,saif_propagated_max_pct,internal_mw,switching_mw,dynamic_mw,leakage_mw,total_mw,energy_per_cycle_pj,cell_area,combinational_area,sequential_area,buf_inv_area,cells,combinational_cells,sequential_cells,buf_inv_cells,black_boxes,setup_slack_ns,setup_status,hold_slack_ns,hold_status,worst_path_arrival_ns,worst_path_required_ns,library_setup_adjustment_ns,startpoint,endpoint,path_group,clk_setup_tns_ns,clk_violating_paths,clk_logic_levels,notes,report_dir
26,clock_gated_w8_sweep_1.4ns,1.4,dlx.sdc,1.911,dlx.sdc,1.911,523.2862375719518,OK,100.0,0.0,0.0,4.46,2.86,7.32,0.475,7.795,14.896245,24070.871641,12075.33606,11995.535581,668.990002,13379.0,10624.0,2685.0,1143.0,0.0,0.0,MET,0.05,MET,1.67,1.67,-0.05,R_3,if_stage_inst/pc_reg_inst/clk_gate_reg_data_reg/latch,clk,0.0,0.0,32.0,,results\clock_gated_w8_sweep_1.4ns\analysis_1.911ns
27,clock_gated_w16_sweep_1.0ns,1.0,dlx.sdc,1.932,dlx.sdc,1.932,517.5983436853003,OK,100.0,0.0,0.0,4.55,2.83,7.38,0.497,7.877,15.218364,24800.243608,12793.270025,12006.973583,795.074003,14064.0,11309.0,2685.0,1351.0,0.0,0.0,MET,0.05,MET,1.71,1.71,-0.05,id_stage_inst/rs2_addr_reg/reg_data_reg[2],if_stage_inst/pc_reg_inst/clk_gate_reg_data_reg/latch,clk,0.0,0.0,36.0,,results\clock_gated_w16_sweep_1.0ns\analysis_1.932ns
28,clock_gated_w16_sweep_1.8ns,1.8,dlx.sdc,1.943,dlx.sdc,1.943,514.668039114771,OK,100.0,0.0,0.0,4.46,2.82,7.279999999999999,0.477,7.757,15.071851,24027.779645,12019.74206,12008.037585,706.496001,13323.0,10579.0,2683.0,1166.0,0.0,0.0,MET,0.05,MET,1.67,1.67,-0.05,R_7,if_stage_inst/pc_reg_inst/clk_gate_reg_data_reg/latch,clk,0.0,0.0,34.0,,results\clock_gated_w16_sweep_1.8ns\analysis_1.943ns
29,clock_gated_w1_sweep_1.5ns,1.5,dlx.sdc,1.943,dlx.sdc,1.943,514.668039114771,OK,100.0,0.0,0.0,4.3,2.71,7.01,0.475,7.484999999999999,14.543355,24045.867646,11844.714056,12201.15359,674.044002,13218.0,10349.0,2740.0,1139.0,0.0,0.0,MET,0.05,MET,1.78,1.78,-0.03,ex_stage_inst/rd_addr_reg/reg_data_reg[1],if_stage_inst/pc_reg_inst/clk_gate_reg_data_reg/latch,clk,0.0,0.0,35.0,,results\clock_gated_w1_sweep_1.5ns\analysis_1.943ns
30,clock_gated_w32_sweep_1.5ns,1.5,dlx.sdc,1.943,dlx.sdc,1.943,514.668039114771,OK,100.0,0.0,0.0,4.54,2.81,7.35,0.474,7.824,15.202032,24009.691639,11830.616057,12179.075582,673.512002,13104.0,10307.0,2716.0,1130.0,0.0,0.0,MET,0.05,MET,1.66,1.66,-0.05,id_stage_inst/rs1_addr_reg/reg_data_reg[4],if_stage_inst/pc_reg_inst/clk_gate_reg_data_reg/latch,clk,0.0,0.0,31.0,,results\clock_gated_w32_sweep_1.5ns\analysis_1.943ns
31,clock_gated_w8_sweep_1.6ns,1.6,dlx.sdc,1.953,dlx.sdc,1.953,512.0327700972862,OK,100.0,0.0,0.0,4.38,2.83,7.21,0.477,7.687,15.012711000000001,24001.711651,11964.680064,12037.031586,685.216002,13253.0,10498.0,2686.0,1137.0,0.0,0.0,MET,0.05,MET,1.7,1.7,-0.05,ex_stage_inst/rd_addr_reg/reg_data_reg[2],if_stage_inst/pc_reg_inst/clk_gate_reg_data_reg/latch,clk,0.0,0.0,34.0,,results\clock_gated_w8_sweep_1.6ns\analysis_1.953ns
32,clock_gated_w16_sweep_1.6ns,1.6,dlx.sdc,1.974,dlx.sdc,1.974,506.5856129685917,OK,100.0,0.0,0.0,4.38,2.7800000000000002,7.16,0.477,7.6370000000000005,15.075438,23987.613635,11960.690051,12026.923585,678.300003,13199.0,10448.0,2685.0,1144.0,0.0,0.0,MET,0.05,MET,1.68,1.68,-0.03,id_stage_inst/rs2_addr_reg/reg_data_reg[3],if_stage_inst/pc_reg_inst/clk_gate_reg_data_reg/latch,clk,0.0,0.0,36.0,,results\clock_gated_w16_sweep_1.6ns\analysis_1.974ns
33,clock_gated_w16_sweep_1.4ns,1.4,dlx.sdc,2.027,dlx.sdc,2.027,493.33991119881597,OK,100.0,0.0,0.0,4.26,2.67,6.93,0.481,7.411,15.022097,24165.035635,12140.50605,12024.529584,684.418003,13433.0,10678.0,2685.0,1153.0,0.0,0.0,MET,0.05,MET,1.77,1.77,-0.03,id_stage_inst/rs2_addr_reg/reg_data_reg[0],if_stage_inst/pc_reg_inst/clk_gate_reg_data_reg/latch,clk,0.0,0.0,37.0,,results\clock_gated_w16_sweep_1.4ns\analysis_2.027ns
34,clock_gated_w8_sweep_1.5ns,1.5,dlx.sdc,2.048,dlx.sdc,2.048,488.28125,OK,100.0,0.0,0.0,4.13,2.65,6.779999999999999,0.47,7.249999999999999,14.847999999999999,23883.873628,11868.388044,12015.485584,661.542002,13190.0,10438.0,2685.0,1116.0,0.0,0.0,MET,0.05,MET,1.74,1.74,-0.05,R_3,if_stage_inst/pc_reg_inst/clk_gate_reg_data_reg/latch,clk,0.0,0.0,35.0,,results\clock_gated_w8_sweep_1.5ns\analysis_2.048ns
35,clock_gated_w8_sweep_1.8ns,1.8,dlx.sdc,2.048,dlx.sdc,2.048,488.28125,OK,100.0,0.0,0.0,4.13,2.65,6.779999999999999,0.474,7.254,14.856192,23967.131648,11950.582065,12016.549584,620.844003,13133.0,10380.0,2686.0,1019.0,0.0,0.0,MET,0.05,MET,1.71,1.71,-0.05,ex_stage_inst/rd_addr_reg/reg_data_reg[1],if_stage_inst/pc_reg_inst/clk_gate_reg_data_reg/latch,clk,0.0,0.0,39.0,,results\clock_gated_w8_sweep_1.8ns\analysis_2.048ns
